id	text1	text2
3394	охота быть счастливый убить два медведь и обедать собираться уезжать когда хозяин изба в который останавливаться прийти сказать что пришлый дьяконов дочка хотеть видеться с князь нехлюдов	останавливаться обедать счастливый уезжать который хозяин и хотеть князь нехлюдов что в два сказать изба охота медведь дьяконов с дочка пришлый прийти видеться собираться быть когда убить
3395	желать бросить в быть же в служба служба поступить он такой время война статский когда потом жертвовать пробуждение военный и жизнь	потом такой же пробуждение быть когда он бросить статский служба и желать жертвовать жизнь поступить в время война в военный служба
3396	он никогда на тридцать отвечать извозчик — большой — не дворянский копейка плач	на дворянский — отвечать он извозчик — тридцать копейка никогда большой не плач
3397	и что общий что он тогда дело он знать который интересоваться подумать товарищество из самолюбие дать не совсем дело он чувство чтобы деньга бояться не это революционный быть но	он знать что это общий дело быть революционный дело который он тогда совсем не интересоваться но из чувство товарищество и самолюбие чтобы не подумать что он бояться дать деньга
3398	он любоваться прекрасный днём густой темнеть облако иногда закрывать солнце и яров поле в который везде ходить мужик за соха перепахивать овёс и густо зеленеть зелень над который подниматься жаворонок и леса покрыть уже кроме поздний дуб свежеть зелень и луг на который пестреть стадо и лошадь и поле на который виднеться пахарь — и нет-нуть он вспоминаться что быть что-то неприятный и когда он спрашивать себя что	он луг — перепахивать поздний что овёс густо поле и подниматься над стадо ходить в леса себя жаворонок пестреть прекрасный быть зеленеть и любоваться что-то свежеть неприятный закрывать соха и что пахарь дуб когда покрыть и нет-нуть кроме иногда и поле зелень и облако лошадь который виднеться солнце на вспоминаться днём зелень который уже за и и спрашивать мужик он который темнеть везде он на густой яров который
3399	два косоротый сидеть шея больной на обвязать халат чахоточный два один другой с в	на два сидеть в халат два больной один косоротый с обвязать шея другой чахоточный
3400	внимательно не он хорошенько стараться облокотиться она хорошенько прямо маленький понять и сидеть ответить на и стул слушать	он сидеть не облокотиться прямо на маленький стул и внимательно слушать она стараться хорошенько понять и хорошенько ответить
3401	— человек такой попасться душевный — разговориться я литр сказывать	попасться человек душевный — я сказывать разговориться литр — такой
3402	глаз проходить усесться встряхнуться и и усаживаться в отвернуться жандарм спускать сознавать себя и проходить даже она себя не прямо пока она как окно она на потом глаз когда мимо перед будто который нея смотреть поспешно виновный упереться	даже жандарм мимо который она проходить не спускать глаз смотреть на нея пока она проходить и усаживаться и потом когда она усесться как будто сознавать себя виновный поспешно отвернуться и встряхнуться упереться глаз в окно прямо перед себя
3403	всякий год бывать так просрочить паспорт и ничто не взыскивать а нынче взять да вот два месяц здесь держать как преступник	преступник два как а не вот просрочить здесь месяц бывать держать взять да взыскивать так ничто и паспорт нынче всякий год
3404	за велеть партия в тротуар и ехать нехлюдов вернуться вид извозчик себя пойти на	нехлюдов вернуться на тротуар и велеть извозчик ехать за себя пойти в вид партия
3405	твой уехать и место бы я на не это	это и я на твой место не уехать бы
3406	— хорошо ты говорить — порядок сила наш не брать — возразить высокий черноволосый обрасти весь волос нестарый мужик	черноволосый весь хорошо высокий брать наш возразить мужик — порядок нестарый обрасти не — — ты говорить сила волос
3407	дама же с браслет только весь принюхиваться морщиться и что-то сказать про приятность сидеть с вонючий мужичий	браслет про принюхиваться же дама с приятность морщиться весь мужичий только с сидеть сказать что-то и вонючий
3408	но симон продолжать стоять и заслонять бочкова	заслонять но продолжать симон и бочкова стоять
3409	провожать и платформа это время пройти последний причитание женский в кондуктор среди звонок послышаться и на свисток рука и плач послышаться свисток вагон с в в	в это время пройти кондуктор с свисток в рука послышаться последний звонок свисток и среди провожать на платформа и в женский вагон послышаться плач и причитание
3410	маслов идти в е который отправка назначить быть партия на июль	отправка партия в который идти маслов быть назначить на е июль
3411	— ну что же вместе потрудиться — продолжать он на утвердительный ответ нехлюдов — два гильдия баклашов — сказать он подавать мягкий широкий несжиматься рука — потрудиться надо	продолжать потрудиться баклашов — нехлюдов несжиматься два — сказать же — — рука — он ну ответ он потрудиться широкий подавать гильдия на надо вместе утвердительный что мягкий
3412	решение отменить я быть что и дело надеяться слушаться скоро ваш	дело ваш быть слушаться скоро и я надеяться что решение отменить
3413	мужик узнать племянник марья иван проводить он на сухонький где слезть взять привязать он лошадь и провести он в церковь	в на слезть провести он взять сухонький он и мужик привязать марья проводить лошадь церковь племянник где узнать иван он
3414	только юноша отдать быть — готовый честный дело наслаждение он быть теперь эгоист всякий утончённый свой самоотверженный он тогда на добрый развратить себя любящий	тогда он быть честный самоотверженный юноша готовый отдать себя на всякий добрый дело — теперь он быть развратить утончённый эгоист любящий только свой наслаждение
3415	стать ободрить нехлюдов он объяснять это имя и единый по проект подать генри джордж	это ободрить нехлюдов и он стать объяснять имя по генри джордж проект единый подать
3416	дорогой нельзя быть курить так что маслов с тем же неудовлетворённый желание курение подойти к острог	неудовлетворённый что к быть маслов тем острог дорогой курить желание подойти с курение же нельзя так
3417	— ну а не помнить ли подсудимая заходить ли она куда-нибудь в гостиница выйти от купец смельков	подсудимая помнить ну смельков ли гостиница от в купец ли а выйти она не — куда-нибудь заходить
3418	мочь понимать нехлюдов но не по и ясно понятливый он мужик довольно человек приказчик который не понять тот долго и быть причина не понимать самый по говорить	нехлюдов говорить довольно ясно и мужик быть человек понятливый но он не понимать и не мочь понять по тот самый причина по который приказчик долго не понимать
3419	где ну так — же обедать	— ну так где же обедать
3420	тот который в остановиться ах бы это ночь быть чувство если этот весь на	ах если бы весь это остановиться на тот чувство который быть в этот ночь
3421	с он случиться то что всегда случается с человек обращаться к наука не для тот чтобы играть роль в наука писать спорить учить а обращаться к наука с прямая простой жизненный вопрос наука отвечать он на тысяча разный очень хитрый и мудрёный вопрос иметь связь с уголовный закон но только не на тот на который он искать ответ	с простой на он тысяча обращаться наука наука очень тот он для писать не что спорить мудрёный случиться ответ наука вопрос прямая учить вопрос закон но уголовный играть к наука отвечать он с связь хитрый только который к в не всегда на с тот обращаться роль случается на и искать то разный чтобы иметь человек жизненный а с
3422	это быть добродушный исполнительный офицер ничто не знать и не хотеть знать в мир кроме полка и царский фамилия	в офицер царский хотеть не ничто это знать знать не добродушный кроме полка и быть и мир исполнительный фамилия
3423	экономка при горничная пётр теперь этот в самый недавно покойный быть остаться это в умерший квартира нехлюдов сын матерь аграфена качество	это быть горничная покойный недавно в этот самый квартира умерший матерь нехлюдов аграфена пётр остаться теперь при сын в качество экономка
3424	слышаться гул голос арестант считать деньга покупать провизия и визгливый говор торговка	визгливый гул торговка говор арестант покупать слышаться провизия и голос деньга считать
3425	идти вырываться вскрикнуть кто-то и она дверь — действительно к	— вскрикнуть она вырываться и действительно кто-то идти к дверь
3426	тотчас то но это иметь сказать он высказать воспользоваться что чтобы и же оправиться замечание	но он тотчас же оправиться и воспользоваться это замечание чтобы высказать то что иметь сказать
3427	переодеться в фрак он приехать к второе акт вечный « » в который приезжий актриса ещё по-новому показывать как умирать чахоточный женщина	» к актриса женщина в как акт показывать в он умирать фрак чахоточный переодеться по-новому приезжий второе приехать ещё вечный « который
3428	— подрывать основа … подрывать основа … — повторить смеяться князь питать неограниченный доверие к ум и учёность свой либеральный товарищ и друг	князь основа либеральный свой товарищ ум питать — и к … подрывать — смеяться доверие и друг подрывать … учёность неограниченный повторить основа
3429	мы это не желать потому и так мы тяжело а то значит вовсе разориться	разориться мы тяжело мы а потому это и то вовсе желать так не значит
3430	в канцелярия сенат пока нехлюдов дожидаться делать справка он слышать опять разговор о дуэль и подробный рассказ о тот как убитый быть молодая каменский	дожидаться нехлюдов убитый как справка дуэль рассказ разговор делать сенат быть пока он слышать о опять в канцелярия каменский подробный молодая о и тот
3431	когда себя она весь » я сослать за измениться поехать весь или она сам освободить и равно	весь равно сам себя весь измениться когда освободить или сослать она и я поехать за она »
3432	очень священник весь и дело делать полезный неловко старичок быть убедить несомненно что один только важный он быть	весь быть неловко один только старичок священник быть несомненно убедить что он делать очень полезный и важный дело
3433	если у вырвать мочь билет ну а двадцатипятирублёвый вы зуб — вытянуть только	ну а если только мочь вытянуть у вы двадцатипятирублёвый билет — зуб вырвать
3434	он предлагать оставаться при университет и ехать за граница	при за предлагать и ехать он граница оставаться университет
3435	старушка стать перед икона и начало молиться	молиться начало перед и стать старушка икона
3436	разговор прекратиться и нехлюдов вслед за садовник выйти из вагон на мокрый доска платформа	из мокрый платформа выйти нехлюдов разговор на вслед вагон садовник доска и за прекратиться
3437	очень я а она с в тоже желать тюрьма и повидаться существо теперь жалкий	она очень жалкий существо и теперь тоже в тюрьма а желать повидаться с я
3438	— разве вы не довольный свой судьба	вы не довольный — разве свой судьба
3439	куда бы вы ни послать я быть с вы	послать бы вы ни быть куда с вы я
3440	— думать нехлюдов продолжать свой путь к адвокат	путь свой адвокат продолжать думать нехлюдов к —
3441	порыв ветер с то дождь то холодное снег идти	идти то снег то дождь с порыв холодное ветер
3442	река быть в берег и шуметь на мельница в спуск	на в и быть мельница спуск шуметь река в берег
3443	если бы он не попытаться загладить искупить свой поступок он никогда бы не почувствовать весь преступность он мало тот и она бы не чувствовать всего зло сделать она	мало весь попытаться поступок тот она преступность он сделать всего не свой бы не никогда она бы чувствовать зло почувствовать искупить он и загладить он если не бы
3444	он извиниться за то что опоздать и хотеть сесть на пустой место на конец стол между миссь и катерина алексей но старик корчагин потребовать чтобы он если уже не пить водка то всё-таки закусить бы у стол на который быть омар икра сырой селёдка	корчагин на сесть но закусить и сырой алексей стол что омар бы стол всё-таки быть чтобы водка конец который селёдка за катерина уже на пить и между опоздать не икра пустой старик то у место он миссь хотеть на потребовать он если то извиниться
3445	нехлюдов долго не шевелиться смотреть на нея желать узнать что она быть делать полагать что никто не видеть она	не узнать смотреть быть никто что что она долго шевелиться на делать нея желать нехлюдов полагать не видеть она
3446	он не отвечать на шутка товарищ достать из сумка деньга и понести она	товарищ понести отвечать на он деньга из достать шутка сумка она не и
3447	она мучалый главный то что она как она говорить ни за что взять	взять как за главный она то мучалый она что говорить ни она что
3448	на весь два в теперь тяжесть месяц последний катюша с шесть очень находиться они жизнь в изнеженный и роскошный город и острог уголовный с казаться несмотря политический который в хорошеть жизнь после развратный условие год	после развратный роскошный и изнеженный жизнь последний шесть год в город и два месяц в острог с уголовный жизнь теперь с политический несмотря на весь тяжесть условие в который они находиться казаться катюша очень хорошеть
3449	но грусть коридор тотчас всякий же который человек уныние тифозный дёготь и приходить пропитать запах в и гниль воздух быть в удручающий испражнение вновь приводить	но в коридор быть удручающий тифозный воздух пропитать запах испражнение дёготь и гниль который тотчас же приводить в уныние и грусть всякий вновь приходить человек
3450	она пожать он рука быстро повернуться и выйти	рука и он она повернуться быстро выйти пожать
3451	тронуть опять зонтик кучер — ну она — поехать	— ну поехать — она опять тронуть зонтик кучер
3452	спешить ты сообщить это приятный известие	это известие приятный сообщить ты спешить
3453	время знакомство тогдашний вспомнить с нехлюдов и и радостно живо свой богодуховский	нехлюдов живо и радостно вспомнить тогдашний время и свой знакомство с богодуховский
3454	— она кажется что весь интересно видеть она ребёнок — сказать мать улыбаться на милый бестактность дочь	видеть на что ребёнок мать милый весь она сказать интересно она — кажется бестактность дочь улыбаться —
3455	к это же человек принадлежать воровать горец и ещё неверующий человек обворовывать церковь	это и к воровать человек неверующий ещё же церковь принадлежать человек обворовывать горец
3456	так отчаяться в он расстояние большой сильно быть что загрязнение очищение так возможность минута это в один	расстояние это быть так большой загрязнение так сильно что в один минута он отчаяться в возможность очищение
3457	— выходить твой твой » топоров интерес только — думать он от	— твой интерес только твой » — думать он выходить от топоров
3458	— надо быть заявить тогда же — сказать он	тогда надо быть он заявить — — сказать же
3459	— здесь — отозваться худой человек в отставной мундир	в здесь человек худой отозваться мундир — — отставной
3460	— да вот ещё нельзя ли она тарас муж свой повидать — прибавить она глаз указывать на улыбаться федосья	указывать да прибавить ли — нельзя улыбаться свой муж ещё повидать — федосья она она на вот тарас глаз
3461	— что он у вы спрашивать кто вы	спрашивать вы кто у что вы — он
3462	мы это удивлять когда дело касаться вор хвастаться свой ловкость проститутка — свой разврат убийца — свой жестокость	жестокость ловкость удивлять — вор когда свой мы хвастаться разврат — это свой проститутка дело убийца свой касаться
3463	воспитать так не один а миллион человек и потом поймать один и воображать себя что мы что-то сделать оградить себя и что большой уже и требовать от мы нечего мы он препроводить из московский в иркутский губерния — с необыкновенный живость и ясность думать нехлюдов сидеть на свой стул ряд с полковник и слушать различный интонация голос защитник прокурор и председатель и глядеть на они самоуверенный жест	— один человек губерния себя свой слушать ряд мы что на и глядеть он стул московский поймать оградить из на самоуверенный так миллион что живость воображать жест препроводить нечего воспитать думать и интонация прокурор они что-то защитник не с иркутский председатель различный необыкновенный от и мы потом полковник и один сделать голос мы с и и в уже себя нехлюдов и требовать и сидеть ясность а большой
3464	каблук свой в и конвойный к сторона равнодушный стоялый сбиться быть городовой совершенно но затруднение оглядывать	но конвойный стоялый в сторона и оглядывать свой сбиться каблук быть совершенно равнодушный к затруднение городовой
3465	уже нары середина лежать в камера арестант в с весь	в камера с нары в середина весь арестант уже лежать
3466	или и чиновник или такой настроение по арест тюрьма выпускать свой делать отличиться соскучиться или и — держать желать смотреть начальство в	соскучиться такой чиновник или желать отличиться — и делать арест и смотреть по настроение свой или начальство держать в тюрьма или выпускать
3467	взглянуть же в она платье просиять она объявить но в без о необыкновенно быть глаз тот он в он волос она бант бел точно радостный что-то	она быть в тот же бел платье но без бант в волос взглянуть он в глаз она просиять точно она объявить он о что-то необыкновенно радостный
3468	за это время нехлюдов вследствие перевод маслов к политический прийтись познакомиться с многий политический сначала в екатеринбург где они очень свободно содержаться весь вместе в большой камера а потом на путь с тот пять мужчина и четыре женщина к который присоединить быть маслов	к большой нехлюдов тот сначала маслов свободно многий прийтись политический вместе а присоединить четыре быть с который за мужчина екатеринбург женщина очень вследствие где в к с пять камера познакомиться это на путь перевод политический и весь потом содержаться время маслов в они
3469	мочь несомненно не для и он решить а другой удивительный знать что что он никак дело делать себя для нужно нужно	и удивительный дело что нужно для себя он никак не мочь решить а что нужно делать для другой он знать несомненно
3470	— оттого что то быть игра — ответить нехлюдов серьёзно	то быть ответить оттого серьёзно что — игра — нехлюдов
3471	— сказать нехлюдов улыбаться и протягивать рука	нехлюдов и рука сказать — протягивать улыбаться
3472	он что знать и надзиратель весь — хорошавка арестант говорить записка делаться передавать бояться и тюрьма в	он и надзиратель бояться — говорить хорошавка передавать записка арестант и знать весь что делаться в тюрьма
3473	— когда мама устать и прогнать вы приходить к я — сказать она обращаться к колосов и нехлюдов такой тон как будто ничто не произойти между они и весело улыбнуться неслышно шагать по толстой ковёр выйти из комната	будто выйти неслышно между прогнать улыбнуться из устать и и — — к весело сказать нехлюдов как колосов когда ковёр тон приходить шагать толстой вы ничто она по и обращаться я комната такой они не мама произойти к
3474	красивый глаз она оторваться от лицо матерь в тот минута как войти нехлюдов и встретиться с он взгляд	красивый встретиться глаз лицо как оторваться войти тот матерь и она в нехлюдов он взгляд минута от с
3475	« да чувствовать себя не хозяин а слуга » — думать он и радоваться этот мысль	слуга мысль а этот чувствовать и радоваться себя да » думать « хозяин он не —
3476	как другой собираться лакей только нехлюдов день вниз принести на одеться он адвокат и спуститься московский карточка что	на другой день только что нехлюдов одеться и собираться спуститься вниз как лакей принести он карточка московский адвокат
3477	христос как так — гнать и гнать я	— как христос гнать так и я гнать
3478	так же торжественно объявлять пристать « суд идти » так же весь вставать так же входить сенатор в свой мундир так же садиться в кресло с высокий спинка так же облокачиваться на стол стараться иметь естественный вид	вид так » с иметь стол же весь же так же пристать стараться так так суд вставать естественный идти же « объявлять торжественно свой мундир облокачиваться входить спинка в на кресло в сенатор высокий же садиться так
3479	отогнать быть шаг кондуктор первое он от он в тотчас и же мягкий войти хотеть но рабочий решительный вагон подойти к	рабочий решительный мягкий шаг подойти к первое вагон и хотеть войти в он но тотчас же быть отогнать от он кондуктор
3480	значок разбудить в с фрак он салфетка лакей и	он разбудить лакей в фрак с значок и салфетка
3481	успокоиться она и домой закутаться поспешно пошлый платок оправиться	она успокоиться оправиться закутаться платок и поспешно пошлый домой
3482	— я ты чаять беречь да остылый небось — сказать она федосья доставать с полка обернуть онуч жестяной чайник и кружка	ты чаять она да с кружка беречь и — жестяной чайник сказать доставать я — обернуть остылый полка онуч небось федосья
3483	произойти из даться не и драка дом зажитое выгнать катюша не который вследствие заплатить она	катюша не даться и произойти драка вследствие который она выгнать из дом не заплатить зажитое
3484	другой как чуть что сейчас по закон а то — стрелять а я жалеть	жалеть другой что как а я закон чуть стрелять сейчас то по — а
3485	март — первое спрашивать за что после	— после первое март спрашивать за что
3486	думать что не порошок вредный это я	я думать что это не вредный порошок
3487	и и вы это восхищаться c'est одобрять я	c'est и я восхищаться это и одобрять вы
3488	с который что-то павло лопотать делать свой тенить переставать что-то белоголовый в же голосок дальний не в и быть маленькая угол марья девчонка детский милый тут	тут же быть в тенить в дальний угол и марья павло что-то делать с маленькая белоголовый девчонка который не переставать что-то лопотать свой милый детский голосок
3489	вопрос решить мой — сторона окончательно с	— с мой сторона вопрос решить окончательно
3490	на и голый встретить барыня пухлый но прислуга выходить новое перстень браслет не рука там так место контора в в маслов случиться поставлять что прийти	новое место не выходить но случиться так что прийти в контора поставлять прислуга маслов встретить там барыня в перстень и браслет на пухлый голый рука
3491	совесть теперь жить возможность бессердечность этот случайность подлость удивительный такой дать напомнить признание он требовать грех от год на десять этот жестокость он вот он с и весь спокойно свой но	но вот теперь этот удивительный случайность напомнить он весь и требовать от он признание свой бессердечность жестокость подлость дать он возможность спокойно жить этот десять год с такой грех на совесть
3492	прокурор принять он стоя очевидно недовольный настоятельность с который нехлюдов требовать свидание с он	требовать свидание нехлюдов стоя настоятельность он с который прокурор он очевидно недовольный с принять
3493	товарищ прокурор быть от природа очень глупый но сверх тот иметь несчастие окончить курс в гимназия с золотой медаль и в университет получить награда за свой сочинение о сервитут по римский право и потому быть в высокий степень самоуверенный довольный себя что ещё способствовать он успех у дать и вследствие это быть глупый чрезвычайно	прокурор ещё глупый о дать гимназия золотой свой быть в самоуверенный награда глупый в степень он университет в и быть способствовать и получить римский от товарищ окончить что быть довольный медаль сочинение по право себя чрезвычайно у это очень вследствие за успех с тот но курс и потому сверх природа иметь высокий сервитут несчастие
3494	между доктор тем на сумасшедший по направление и койка плевать перестать сидеть курить свой	сумасшедший между тем сидеть на свой койка и перестать курить плевать по направление доктор
3495	заговорить в — так половина — большой невинный нехлюдов чувство с присудить к — что я я зять убедиться а противный убедиться недобрый суд человек	— а я так убедиться в противный — заговорить нехлюдов с недобрый чувство к зять — я убедиться что большой половина человек присудить суд невинный
3496	— за что один быть чернозём а другой глина да песок	а за быть песок чернозём другой — глина один да что
3497	этот поцелуй быть совсем уже не такой как тот один два поцелуй один бессознательный за куст сирень и другой нынче утром в церковь	церковь один не уже два нынче другой поцелуй этот за в совсем быть поцелуй один тот как сирень куст утром бессознательный такой и
3498	« пока мы она держать быть она говорить мы как таракан извести »	говорить таракан держать « она мы она быть как извести пока мы »
3499	— ну теперь этот не поймать ни за что — говорить « гореть » весёлый художник очень быстро бегать на свой короткий и кривая но сильный мужицкий нога — нешто спотыкнуться	поймать гореть теперь бегать но ну очень свой этот кривая ни что быстро спотыкнуться мужицкий и — сильный художник короткий — не на за весёлый « — нешто говорить нога »
3500	— мы весь по каменный работа весь один артель	работа артель весь по мы весь каменный один —
3501	в в канцелярия офицер третье — арестант конвойный окно — большой друг команда самый в решетчатый с помешаться и один в	в один в самый большой с решетчатый окно помешаться арестант в друг — конвойный команда в третье — офицер и канцелярия
3502	платок на они с смотреть с барин золотой рукав понёва спустить чистый любопытный и застёжка на оправить входить дом на в баба голова ужас	баба оправить на голова платок и спустить понёва с любопытный ужас смотреть на чистый барин с золотой застёжка на рукав входить в они дом
